Bugs,Fix ,Symptom,Root Cause,Component,Explanation - Symptom,Explanation - Root Cause,What factors are contained in the bug-triggered test program?,Has Test Program?,Bug ID,Trigger Bug,Impact,Bug ID text
https://github.com/ethereum/solidity/issues/13680,https://github.com/ethereum/solidity/pull/13964,Incorrect Output,Optimization Error,CodeGen,ByteCode,,1. assembly,1,13680,yul,"Low Impact
Low Effort",13680
https://github.com/ethereum/solidity/issues/13628,https://github.com/ethereum/solidity/pull/13629,Incorrect Output,Exception Handling Error,Interface,ByteCode,missing type checking,1. CL,1,13628,,,13628
https://github.com/ethereum/solidity/issues/13477,https://github.com/ethereum/solidity/pull/13749,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect Model Checker Implementation,"1. SMT enabler
2. language feature (library internal)",1,13477,,"Medium Impact
Low Effort",13477
https://github.com/ethereum/solidity/issues/13432,https://github.com/ethereum/solidity/pull/13762,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,"1. language feature (struct delete)
2. SMT enabler",1,13432,,,13432
https://github.com/ethereum/solidity/issues/13366,https://github.com/ethereum/solidity/pull/13367,Crash,Semantic Analysis Error,Formal Verification,Poor Error Message,missing type checking,"1. invalid code
2. tuple",1,13366,,,13366
https://github.com/ethereum/solidity/issues/13266,https://github.com/ethereum/solidity/pull/13280,Crash,Memory-Related Error,Code Analyzer,Segfault,Null Pointer Dereference,keyword: memory,1,13266,,,13266
https://github.com/ethereum/solidity/issues/13259,https://github.com/ethereum/solidity/pull/13406,Crash,Memory-Related Error,CodeGen,Reject Valid Program,Access the slot of mapping var,yul: mstore,1,13259,yul,,13259
https://github.com/ethereum/solidity/issues/13249,https://github.com/ethereum/solidity/pull/13282,Incorrect Output,Memory-Related Error,CodeGen,encoding,Memory Copy,"dynamic array
keyword: calldata",1,13249,,,13249
https://github.com/ethereum/solidity/issues/13208,https://github.com/ethereum/solidity/pull/13279,Crash,Semantic Analysis Error,Code Analyzer,Poor Error Message,missing type checking,tuple,1,13208,,,13208
https://github.com/ethereum/solidity/issues/13101,https://github.com/ethereum/solidity/pull/13299,Crash,Semantic Analysis Error,Code Analyzer,Poor Error Message,missing type checking,"1. abi encoder
2. event
3. error",1,13101,,,13101
https://github.com/ethereum/solidity/issues/13039,https://github.com/ethereum/solidity/pull/13040,Error Omission,Optimization Error,Yul,,,1. assembly,1,13039,yul,,13039
https://github.com/ethereum/solidity/issues/12998,https://github.com/ethereum/solidity/pull/13000,Crash,Exception Handling Error,Formal Verification,Reject Valid Program,Misleading Error Message,NO TEST PROGRAM,0,12998,,,12998
https://github.com/ethereum/solidity/issues/12973,https://github.com/ethereum/solidity/pull/13754,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,NO TEST PROGRAM,0,12973,member,,12973
https://github.com/ethereum/solidity/issues/12953,https://github.com/ethereum/solidity/pull/12966,Crash,Semantic Analysis Error,Interface,Poor Error Message,Incorrect Model Checker Implementation,"1. mapping
2.  int256",1,12953,mapping,,12953
https://github.com/ethereum/solidity/issues/12880,https://github.com/ethereum/solidity/pull/13001,Incorrect Output,Code Generation Error,CodeGen,encoding,,"1. event emit
2. metamorphic relation",1,12880,ABI,,12880
https://github.com/ethereum/solidity/issues/12860,https://github.com/ethereum/solidity/pull/12861,Error Omission,Code Generation Error,evmasm,,,1. assembly,1,12860,yul,,12860
https://github.com/ethereum/solidity/issues/12780,https://github.com/ethereum/solidity/pull/12781,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,AST Visitor,1. function overload,1,12780,,,12780
https://github.com/ethereum/solidity/issues/12776,https://github.com/ethereum/solidity/pull/12779,Incorrect Output,Exception Handling Error,Code Analyzer,encoding,Poor Error Message,"1. external
2. abi encoder",1,12776,,,12776
https://github.com/ethereum/solidity/issues/12738,https://github.com/ethereum/solidity/pull/12748,Incorrect Output,Optimization Error,"evmasm
Yul
Codegen",ByteCode,,"1. bytes
2. memory",0,12738,,,12738
https://github.com/ethereum/solidity/issues/12718,https://github.com/ethereum/solidity/pull/12750,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,incorrect type checking,"1. memory
2. abi encoder",1,12718,,,12718
https://github.com/ethereum/solidity/issues/12615,https://github.com/ethereum/solidity/pull/12616,Error Omission,Semantic Analysis Error,Code Analyzer,,OOP,1. class inheritance,1,12615,,,12615
https://github.com/ethereum/solidity/issues/12600,https://github.com/ethereum/solidity/pull/13118,Incorrect Output,Memory-Related Error,CodeGen,Value(s) of Variable(s),Memory Copy,yul: mstore,1,12600,yul,,12600
https://github.com/ethereum/solidity/issues/12558,https://github.com/ethereum/solidity/pull/12579,Crash,Memory-Related Error,CodeGen,Reject Valid Program,Memory Copy,keyword: memory,1,12558,,,12558
https://github.com/ethereum/solidity/issues/12546,https://github.com/ethereum/solidity/pull/12553,Crash,Memory-Related Error,CodeGen,Reject Valid Program,Memory Copy,dynamic array,1,12546,,,12546
https://github.com/ethereum/solidity/issues/12535,https://github.com/ethereum/solidity/pull/12605,Incorrect Output,Code Generation Error,CodeGen,Emitted Event,,"1. event emit
2. bytes",1,12535,IR,,12535
https://github.com/ethereum/solidity/issues/12528,https://github.com/ethereum/solidity/pull/12544,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,Scope,1. override,1,12528,,,12528
https://github.com/ethereum/solidity/issues/12505,https://github.com/ethereum/solidity/pull/12520,Crash,Semantic Analysis Error,Code Analyzer,Poor Error Message,missing type checking,1. use of undefined construct,1,12505,,,12505
https://github.com/ethereum/solidity/issues/12406,https://github.com/ethereum/solidity/pull/12801,Hang,Optimization Error,evmasm,,,"1. Large Contract
2. CL",1,12406,,,12406
https://github.com/ethereum/solidity/issues/12379,https://github.com/ethereum/solidity/pull/12523,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,Scope,"1. class inheritance
2. immutable",1,12379,,,12379
https://github.com/ethereum/solidity/issues/12222,https://github.com/ethereum/solidity/pull/12227,Crash,Exception Handling Error,Formal Verification,Reject Valid Program,Unnecessary Error Reporting,"1. SMT enabler
2. library, tuple",1,12222,,,12222
https://github.com/ethereum/solidity/issues/12159,https://github.com/ethereum/solidity/pull/12186,Crash,Memory-Related Error,Code Analyzer,Reject Valid Program,storage size,large static array,1,12159,,,12159
https://github.com/ethereum/solidity/issues/12158,https://github.com/ethereum/solidity/pull/12139,Crash,Semantic Analysis Error,Yul,Reject Valid Program,Scope,"1. external,
2. assembly",1,12158,yul,,12158
https://github.com/ethereum/solidity/issues/12068,https://github.com/ethereum/solidity/pull/12123,Incorrect Output,Code Generation Error,CodeGen,Warning Message,No specification about codegen an empty switch,NO TEST PROGRAM,0,12068,yul,,12068
https://github.com/ethereum/solidity/issues/12066,https://github.com/ethereum/solidity/pull/12094,Crash,Exception Handling Error,AST,Poor Error Message,Incorrect Error Reporting,"1. typedef, mapping, library",1,12066,,,12066
https://github.com/ethereum/solidity/issues/12065,https://github.com/ethereum/solidity/pull/12193,Crash,Yul Analysis Error,Yul,Reject Valid Program,Incorrect Source Location,"yul
annotation",1,12065,yul,,12065
https://github.com/ethereum/solidity/issues/12061,https://github.com/ethereum/solidity/pull/12212,Error Omission,Code Generation Error,CodeGen,,,"1. modifier, external",1,12061,IR,,12061
https://github.com/ethereum/solidity/issues/11955,https://github.com/ethereum/solidity/pull/11956,Crash,Type System Error,AST,Reject Valid Program,,1. metamorphic relation,1,11955,,,11955
https://github.com/ethereum/solidity/issues/11929,https://github.com/ethereum/solidity/pull/11930,Crash,Memory-Related Error,CodeGen,Reject Valid Program,calldata,"yul
calldata",1,11929,,,11929
https://github.com/ethereum/solidity/issues/11885,https://github.com/ethereum/solidity/pull/11906,Incorrect Output,Formal Verification Error,Formal Verification,Warning Message,Incorrect Model Checker Implementation,"1. external, payable",1,11885,,,11885
https://github.com/ethereum/solidity/issues/11878,https://github.com/ethereum/solidity/pull/11887,Crash,Exception Handling Error,Error Handling,Reject Valid Program,Incorrect Error Handling Implementation,,1,11878,several files,,11878
https://github.com/ethereum/solidity/issues/11855,https://github.com/ethereum/solidity/pull/11881,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,Scope,multiple import,1,11855,several files,,11855
https://github.com/ethereum/solidity/issues/11736,https://github.com/ethereum/solidity/pull/11737,Incorrect Output,Code Generation Error,Yul,Value(s) of Variable(s),,NO TEST PROGRAM,0,11736,IR,,11736
https://github.com/ethereum/solidity/issues/11734,https://github.com/ethereum/solidity/pull/11735,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,Scope,"1. assembly
2. CL
3. name shadowing",1,11734,yul,,11734
https://github.com/ethereum/solidity/issues/11710,https://github.com/ethereum/solidity/pull/11852,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect Model Checker Implementation,"library, internal",1,11710,,,11710
https://github.com/ethereum/solidity/issues/11708,https://github.com/ethereum/solidity/pull/11717,Incorrect Output,Optimization Error,CLI,ByteCode,Optimization Error for yul contracts,yul,1,11708,yul,,11708
https://github.com/ethereum/solidity/issues/11677,https://github.com/ethereum/solidity/pull/12565,Crash,Type System Error,CodeGen,Reject Valid Program,Incorrect Type Conversion,"calldata, external, pure, bytes, memory",1,11677,conversion,,11677
https://github.com/ethereum/solidity/issues/11631,https://github.com/ethereum/solidity/pull/11632,Crash,Semantic Analysis Error,CodeGen,Reject Valid Program,Scope,"1. unchecked
2. type()",1,11631,,,11631
https://github.com/ethereum/solidity/issues/11611,https://github.com/ethereum/solidity/pull/12557,Crash,Memory-Related Error,CodeGen,Reject Valid Program,Stack Pop Problem,,1,11611,,,11611
https://github.com/ethereum/solidity/issues/11610,https://github.com/ethereum/solidity/pull/12275,Crash,Exception Handling Error,Code Analyzer,Poor Error Message,Incorrect Error Type,"1. CL
2. calldata",1,11610,,,11610
https://github.com/ethereum/solidity/issues/11557,https://github.com/ethereum/solidity/pull/11577/files,Crash,Semantic Analysis Error,Code Analyzer,Poor Error Message,missing type checking,"modifer, interface",1,11557,incorrect type combination,,11557
https://github.com/ethereum/solidity/issues/11553,https://github.com/ethereum/solidity/pull/11641,Incorrect Output,Read-write Error,CLI,Metadata Output,CL reading,empty contract,1,11553,,,11553
https://github.com/ethereum/solidity/issues/11552,https://github.com/ethereum/solidity/pull/11544,Crash,Read-write Error,CLI,Poor Error Message,,1. CL,1,11552,,,11552
https://github.com/ethereum/solidity/issues/11526,https://github.com/ethereum/solidity/pull/11580,Crash,Code Generation Error,CodeGen,Reject Valid Program,,"big constant, bitwise negation",1,11526,AST->bytecode,,11526
https://github.com/ethereum/solidity/issues/11524,https://github.com/ethereum/solidity/pull/11575,Crash,Code Generation Error,CodeGen,Reject Valid Program,The trivial implementation is about string escape.,assembly,1,11524,yul,,11524
https://github.com/ethereum/solidity/issues/11522,https://github.com/ethereum/solidity/pull/11527,Incorrect Output,Semantic Analysis Error,Code Analyzer,Warning Message,Scope,"library, external, internal",1,11522,,,11522
https://github.com/ethereum/solidity/issues/11521,https://github.com/ethereum/solidity/pull/11534,Incorrect Output,Optimization Error,Parser,ByteCode,initialization of the optimization,NO TEST PROGRAM,0,11521,,,11521
https://github.com/ethereum/solidity/issues/11506,https://github.com/ethereum/solidity/pull/11569,Crash,Semantic Analysis Error,Code Analyzer,Poor Error Message,missing type checking,"virtual, override, abstract, modifier",1,11506,,,11506
https://github.com/ethereum/solidity/issues/11501,https://github.com/ethereum/solidity/pull/11503,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,control flow,external,1,11501,,,11501
https://github.com/ethereum/solidity/issues/11497,https://github.com/ethereum/solidity/pull/11499,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,control flow,"keccak256, abi.encode",1,11497,,,11497
https://github.com/ethereum/solidity/issues/11483,https://github.com/ethereum/solidity/pull/12471,Crash,Semantic Analysis Error,Code Analyzer,Poor Error Message,OOP,override modifier,1,11483,,,11483
https://github.com/ethereum/solidity/issues/11445,https://github.com/ethereum/solidity/pull/11472,Crash,Semantic Analysis Error,"AST
CodeGen",Reject Valid Program,Scope,"override, inheritance
external",1,11445,,,11445
https://github.com/ethereum/solidity/issues/11440,https://github.com/ethereum/solidity/pull/11441,Incorrect Output,Semantic Analysis Error,CodeGen,Value(s) of Variable(s),Incorrect Source Location,"event, emit, block",1,11440,,,11440
https://github.com/ethereum/solidity/issues/11418,https://github.com/ethereum/solidity/pull/11419,Crash,Optimization Error,Code Analyzer,Reject Valid Program,Optimization Setting,NO TEST PROGRAM,0,11418,,,11418
https://github.com/ethereum/solidity/issues/11405,https://github.com/ethereum/solidity/pull/11454,Incorrect Output,Type System Error,AST,Error Message,Incorrect Type System,try-catch,1,11405,,,11405
https://github.com/ethereum/solidity/issues/11404,https://github.com/ethereum/solidity/pull/11474,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,"SMT enabler
calldata, bytes, external",1,11404,array slice,,11404
https://github.com/ethereum/solidity/issues/11356,https://github.com/ethereum/solidity/pull/11456,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,Scope,"mapping, storage, abstract",1,11356,,,11356
https://github.com/ethereum/solidity/issues/11353,https://github.com/ethereum/solidity/pull/11480,Crash,Exception Handling Error,Code Analyzer,Poor Error Message,Incorrect Error Type,"mapping, event",1,11353,,,11353
https://github.com/ethereum/solidity/issues/11341,https://github.com/ethereum/solidity/pull/11467,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect Model Checker Implementation,"view, return",1,11341,,,11341
https://github.com/ethereum/solidity/issues/11336,https://github.com/ethereum/solidity/pull/11400,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,"SMT enabler
bytes, array",1,11336,array,,11336
https://github.com/ethereum/solidity/issues/11325,https://github.com/ethereum/solidity/pull/11476,Crash,Exception Handling Error,CodeGen,Reject Valid Program,Incorrect Error Reporting,"external, library, using",1,11325,,,11325
https://github.com/ethereum/solidity/issues/11233,https://github.com/ethereum/solidity/pull/11234,Crash,Read-write Error,CLI,Poor Error Message,Compatibility Issue,CL,1,11233,,,11233
https://github.com/ethereum/solidity/issues/11213,https://github.com/ethereum/solidity/pull/11222,Error Omission,Formal Verification Error,Formal Verification,,Incorrect Model Checker Implementation,"library, interface, require, assert",1,11213,,,11213
https://github.com/ethereum/solidity/issues/11194,https://github.com/ethereum/solidity/pull/11205,Crash,Doc Error,"Parser
Code Analyzer",Reject Valid Program,,,1,11194,,,11194
https://github.com/ethereum/solidity/issues/11131,https://github.com/ethereum/solidity/pull/11134,Incorrect Output,Optimization Error,evmasm,Assembly Code,,"assembly
CLI --optimize",1,11131,yul,,11131
https://github.com/ethereum/solidity/issues/11128,https://github.com/ethereum/solidity/pull/10228,Crash,Semantic Analysis Error,"Code Analyzer
AST",Poor Error Message,Circular Dependence,"external, payable, receive()
CLI --ir",1,11128,,,11128
https://github.com/ethereum/solidity/issues/11068,https://github.com/ethereum/solidity/pull/11621/files,Incorrect Output,Yul Analysis Error,Yul,ByteCode,Incorrect Source Location,,1,11068,,,11068
https://github.com/ethereum/solidity/issues/11064,https://github.com/ethereum/solidity/pull/11069,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,ArraySlice `arr[beg:end]`,1,11064,array,,11064
https://github.com/ethereum/solidity/issues/11041,https://github.com/ethereum/solidity/pull/11071,Crash,Yul Analysis Error,LangUtil,Poor Error Message,Incorrect Source Location,empty Yul,1,11041,yul,,11041
https://github.com/ethereum/solidity/issues/11039,https://github.com/ethereum/solidity/pull/11236,Crash,Read-write Error,CLI,Reject Valid Program,,CL,1,11039,several files,,11039
https://github.com/ethereum/solidity/issues/11027,https://github.com/ethereum/solidity/pull/11854,Error Omission,Formal Verification Error,Formal Verification,,Incorrect SMT Encoding,"SMT enabler
bytes, internal, assert, require",1,11027,array,,11027
https://github.com/ethereum/solidity/issues/11007,https://github.com/ethereum/solidity/pull/11014,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,Function Call Graph,"bytes, inheritance",1,11007,,,11007
https://github.com/ethereum/solidity/issues/11005,https://github.com/ethereum/solidity/pull/11076,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,".pop, [], SMT enabler",1,11005,array,,11005
https://github.com/ethereum/solidity/issues/11001,https://github.com/ethereum/solidity/pull/11004,Crash,Memory-Related Error,CodeGen,Reject Valid Program,Allocation Problem,keyword: memory,1,11001,,,11001
https://github.com/ethereum/solidity/issues/10988,https://github.com/ethereum/solidity/pull/10999,Crash,Exception Handling Error,Code Analyzer,Poor Error Message,Incorrect Error Type,"abstract, public",1,10988,,,10988
https://github.com/ethereum/solidity/issues/10985,https://github.com/ethereum/solidity/pull/11116,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,"SMT enabler, uint256",1,10985,member,,10985
https://github.com/ethereum/solidity/issues/10975,https://github.com/ethereum/solidity/pull/10992,Crash,Semantic Analysis Error,Yul,Reject Valid Program,missing type checking,assembly,1,10975,yul,,10975
https://github.com/ethereum/solidity/issues/10958,https://github.com/ethereum/solidity/pull/10959,Crash,Exception Handling Error,CodeGen,Reject Valid Program,Too Restrict Error Reporting,"external, pure",1,10958,several files,,10958
https://github.com/ethereum/solidity/issues/10956,https://github.com/ethereum/solidity/pull/10993,Crash,Type System Error,AST,Reject Valid Program,Incorrect Type System,"constant, import",1,10956,several files,,10956
https://github.com/ethereum/solidity/issues/10947,https://github.com/ethereum/solidity/pull/10953,Crash,Code Generation Error,CodeGen,Reject Valid Program,,"bytes, pure, modifier",1,10947,IR,,10947
https://github.com/ethereum/solidity/issues/10940,https://github.com/ethereum/solidity/pull/11459,Crash,Exception Handling Error,CodeGen,Poor Error Message,Incorrect Error Reporting,fixed,1,10940,,,10940
https://github.com/ethereum/solidity/issues/10926,https://github.com/ethereum/solidity/pull/11092,Crash,Semantic Analysis Error,Formal Verification,Reject Valid Program,OOP,super,1,10926,,,10926
https://github.com/ethereum/solidity/issues/10920,https://github.com/ethereum/solidity/pull/10991,Crash,Code Generation Error,CodeGen,Reject Valid Program,,"(address(1).call(""""))",1,10920,IR,,10920
https://github.com/ethereum/solidity/issues/10918,https://github.com/ethereum/solidity/pull/10960,Crash,Memory-Related Error,CodeGen,Reject Valid Program,Allocation Problem,,1,10918,,,10918
https://github.com/ethereum/solidity/issues/10917,https://github.com/ethereum/solidity/pull/11003,Crash,Code Generation Error,CodeGen,Reject Valid Program,,delete,1,10917,IR,,10917
https://github.com/ethereum/solidity/issues/10916,https://github.com/ethereum/solidity/pull/10945,Crash,Semantic Analysis Error,CodeGen,Reject Valid Program,Scope,"constructor, modifier",1,10916,,,10916
https://github.com/ethereum/solidity/issues/10914,https://github.com/ethereum/solidity/pull/11032,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,"bytes, push",1,10914,array,,10914
https://github.com/ethereum/solidity/issues/10900,https://github.com/ethereum/solidity/pull/12850,Crash,Semantic Analysis Error,"Code Analyzer
AST",Poor Error Message,OOP,"override, calldata, inheritance",1,10900,,,10900
https://github.com/ethereum/solidity/issues/10895,https://github.com/ethereum/solidity/pull/10911,Crash,Semantic Analysis Error,CodeGen,Poor Error Message,CLI syntax,fixed,1,10895,,,10895
https://github.com/ethereum/solidity/issues/10892,https://github.com/ethereum/solidity/pull/10950,Crash,Exception Handling Error,CodeGen,Reject Valid Program,Incorrect Error Reporting,event,1,10892,,,10892
https://github.com/ethereum/solidity/issues/10891,https://github.com/ethereum/solidity/pull/11015,Crash,Exception Handling Error,CodeGen,Reject Valid Program,Incorrect Error Reporting,selector,1,10891,,,10891
https://github.com/ethereum/solidity/issues/10889,https://github.com/ethereum/solidity/pull/10910,Crash,Exception Handling Error,CodeGen,Reject Valid Program,Unnecessary Error Reporting,uint[] calldata,1,10889,,,10889
https://github.com/ethereum/solidity/issues/10882,https://github.com/ethereum/solidity/pull/11475,Crash,Semantic Analysis Error,Code Analyzer,Reject Valid Program,OOP,receive(),1,10882,,,10882
https://github.com/ethereum/solidity/issues/10881,https://github.com/ethereum/solidity/pull/10921,Crash,Doc Error,Parser,Reject Valid Program,,comment,1,10881,,,10881
https://github.com/ethereum/solidity/issues/10876,https://github.com/ethereum/solidity/pull/13974,Incorrect Output,Formal Verification Error,Formal Verification,SMT analysis result,Incorrect Model Checker Implementation,ternary,1,10876,,,10876
https://github.com/ethereum/solidity/issues/10874,https://github.com/ethereum/solidity/pull/10886,Crash,Memory-Related Error,Code Analyzer,Reject Valid Program,Null Pointer Dereference,,1,10874,,,10874
https://github.com/ethereum/solidity/issues/10870,https://github.com/ethereum/solidity/pull/10896,Crash,Type System Error,"Code Analyzer
CodeGen
AST",Reject Valid Program,Incorrect Type System,"storage array, pop",1,10870,conversion,,10870
https://github.com/ethereum/solidity/issues/10831,https://github.com/ethereum/solidity/pull/11088,Crash,Semantic Analysis Error,Formal Verification,Reject Valid Program,Scope,SMT enabler,1,10831,,,10831
https://github.com/ethereum/solidity/issues/10821,https://github.com/ethereum/solidity/pull/10826,Error Omission,Semantic Analysis Error,Code Analyzer,,Intialization,storage,1,10821,,,10821
https://github.com/ethereum/solidity/issues/10796,https://github.com/ethereum/solidity/pull/10802,Incorrect Output,Formal Verification Error,Formal Verification,SMT analysis result,Incorrect SMT Encoding,SMT enabler,1,10796,,,10796
https://github.com/ethereum/solidity/issues/10793,https://github.com/ethereum/solidity/pull/10801,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,SMT enabler,1,10793,array,,10793
https://github.com/ethereum/solidity/issues/10732,https://github.com/ethereum/solidity/pull/10783,Hang,Semantic Analysis Error,Code Analyzer,,missing type checking,cyclical dependency,1,10732,,,10732
https://github.com/ethereum/solidity/issues/10730,https://github.com/ethereum/solidity/pull/10763,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,"ABI encoder
assembly",1,10730,yul,,10730
https://github.com/ethereum/solidity/issues/10712,https://github.com/ethereum/solidity/pull/10777,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect Model Checker Implementation,SMT enabler,1,10712,,,10712
https://github.com/ethereum/solidity/issues/10693,https://github.com/ethereum/solidity/pull/10702,Incorrect Output,Formal Verification Error,Formal Verification,SMT analysis result,Incorrect SMT Encoding,SMT enabler,1,10693,,,10693
https://github.com/ethereum/solidity/issues/10689,https://github.com/ethereum/solidity/pull/10759,Incorrect Output,Memory-Related Error,CodeGen,function returned value,storage -> memory,"keyword: memory
dynamic array",1,10689,,,10689
https://github.com/ethereum/solidity/issues/10671,https://github.com/ethereum/solidity/pull/10685,Error Omission,Formal Verification Error,Formal Verification,,Incorrect Model Checker Implementation,SMT enabler,1,10671,,,10671
https://github.com/ethereum/solidity/issues/10667,https://github.com/ethereum/solidity/pull/11479,Crash,Code Generation Error,CodeGen,Reject Valid Program,,function array,1,10667,AST->bytecode,,10667
https://github.com/ethereum/solidity/issues/10666,https://github.com/ethereum/solidity/pull/10721,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect Model Checker Implementation,"try catch, SMT enabler, while",1,10666,,,10666
https://github.com/ethereum/solidity/issues/10660,https://github.com/ethereum/solidity/pull/10670,Crash,Semantic Analysis Error,Formal Verification,Reject Valid Program,Scope,"virtual modifier, member access, SMT enabler",1,10660,,,10660
